Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price
"Bristol, City of",7/1/2022,8245,Offices,Capital House,Capital House 1-6 Brunswick Square City Centre Bristol BS1 3LG,,,,BS1 3LG,Ashley,358818.0,173567.0,Freehold Reversion,,Land and Building(s),5500.0,0.187305,,Investment Properties,B,1200.0,"Meeting Rooms, Private Parking","2010, 2011, 2012, 2014, 2016, 2021, 2023, 2024",2070599.2,
"Bristol, City of",7/1/2022,116128,Offices,Central Health Clinic,Central Health Clinic Tower Hill St Philips Bristol BS2 0JD,,Tower Hill,Bristol,BS2 0JD,Central,359393.0,173003.0,Informal Agreement,,Building(s) only,,0.000313,Yes,Direct Service,,,"Modern Kitchen, Private Parking","2016, 2020, 2021, 2022, 2023",,
"Bristol, City of",7/1/2022,7668,Store/Depot/Warehouse,Victoria Park Depot,Victoria Park Depot Park Lodge Somerset Terrace Bristol BS3 4LL,,Somerset Terrace,Bristol,BS3 4LL,Windmill Hill,359102.0,171394.0,Freehold,,Land and Building(s),,0.032084,Yes,Surplus / Non-operational / Under Review,,,,"2010, 2011, 2016, 2018, 2021, 2024",,
"Bristol, City of",7/1/2022,9041,Store/Depot/Warehouse,Olive Shed,Olive Shed Princes Wharf Harbourside Bristol BS1 4RW,,Princes Wharf,Bristol,BS1 4RN,Central,358391.0,172178.0,Freehold,,Land and Building(s),55.0,0.0061,,Investment Properties,G,2200.0,,"2012, 2015, 2016, 2021",291200.0,
"Bristol, City of",7/1/2022,9042,Store/Depot/Warehouse,Kings Store,Kings Store Princes Wharf Harbourside Bristol BS1 4RN,,Princes Wharf,Bristol,BS1 4RN,Hotwells & Harbourside,358360.0,172174.0,Freehold,,Land and Building(s),40.0,0.004,,Investment Properties,E,1800.0,,"2013, 2016, 2017, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,6766,Land-Car/Lorry Park,Mardyke Public Car Park,Mardyke Public Car Park Hotwell Road Hotwells Bristol BS8 4UR,,Hotwell Road,Bristol,BS8 4UR,Hotwells & Harbourside,357527.0,172453.0,Freehold,,Land only,,0.130747,Yes,Direct Service,,,,"2010, 2016, 2019, 2021, 2023, 2024",,
"Bristol, City of",7/1/2022,6768,Store/Depot/Warehouse,Buildings 1 And 2 Mardyke Wharf,Buildings 1 And 2 Mardyke Wharf Hotwell Road Hotwells Bristol BS8 4UB,,Hotwell Road,Bristol,BS8 4UB,Hotwells & Harbourside,357505.0,172453.0,Freehold,,Land and Building(s),152.1,0.006339,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2011, 2015, 2016, 2017, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,10386,House Service Occupancy,Ashton Court - Clifton Lodge East,Ashton Court - Clifton Lodge East Rownham Hill Leigh Woods Long Ashton North Somerset BS41 9JN,,,,BS41 9JN,Outside Bristol,355810.0,172685.0,Freehold,,Land and Building(s),138.0,0.0168,Yes,Direct Service,F,2000.0,,"2011, 2014, 2016, 2018, 2021",291200.0,
"Bristol, City of",7/1/2022,10350,Store/Depot/Warehouse,Barton Manor - Premises At,Barton Manor - Premises At St Philips Bristol BS2 0RL,,Barton Manor,Bristol,BS2 0RL,Lawrence Hill,360069.0,172956.0,Freehold,,Land and Building(s),0.0,0.080405,,Investment Properties,F,2000.0,,"2016, 2018, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,8657,Museum,At Bristol,At Bristol New World Square/Anchor Road Bristol BS1 5DB,,Anchor Road,Bristol,BS1 5DB,Hotwells & Harbourside,358369.0,172556.0,Freehold,,Land and Building(s),9014.0,2.844547,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2010, 2013, 2016, 2019, 2021",3285467.36,
"Bristol, City of",7/1/2022,139025,Land-Residential,Wyatt Avenue/Dangerfield Avenue - Land At Rear,Wyatt Avenue/Dangerfield Avenue - Land At Rear Highridge Bristol BS13 8HW,,,,BS13 8HW,Bishopsworth,356680.0,168488.0,Freehold,,Land only,,0.077832,Yes,Direct Service,,,,"2012, 2015, 2016, 2018, 2021",,
"Bristol, City of",7/1/2022,138587,Land-Dock/Dockyard,Underfall Yard,Underfall Yard Avon Crescent Hotwells Bristol BS1 6XQ,,Avon Crescent,Bristol,BS1 6XQ,Hotwells & Harbourside,357148.0,172134.0,Freehold,,Land and Building(s),2311.0,0.811561,,Indirect Service / Non-Investment Letting(s),E,1800.0,,"2012, 2014, 2016, 2020, 2021, 2024",879656.95,
"Bristol, City of",7/1/2022,7460,Shop/Kiosk,1 Market Square,1 Market Square Fishponds Bristol BS16 4LE,1.0,Market Square,Bristol,BS16 4LE,Hillfields,364384.0,175004.0,Freehold,,Land and Building(s),125.0,0.0236,,Investment Properties,E,1800.0,,"2010, 2013, 2016, 2019, 2020, 2021, 2023, 2025",291200.0,
"Bristol, City of",7/1/2022,10383,House Service Occupancy,Church Lodge,Church Lodge Ashton Court Estate Ashton Road Long Ashton North Somerset BS41 9JN,,,,BS41 9JN,Outside Bristol,355415.0,171198.0,Freehold,,Land and Building(s),233.0,0.0156,Yes,Direct Service,F,2000.0,,"2013, 2016, 2020, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,8981,Land-Retail/Commercial,49 Merchant Street,49 Merchant Street City Centre Bristol BS1 3EE,49.0,Merchant Street,Bristol,BS1 3EE,Central,359124.0,173396.0,Freehold,,Land only,0.0,0.0422,,Investment Properties,G,2200.0,,"2016, 2020, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,8982,Shop/Kiosk,51 Merchant Street,51 Merchant Street City Centre Bristol BS1 3EE,51.0,Merchant Street,Bristol,BS1 3EE,Central,359119.0,173412.0,Freehold,,Land and Building(s),0.0,0.0132,,Investment Properties,G,2200.0,,"2012, 2013, 2016, 2018, 2019, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,8984,Shop/Kiosk,53 Merchant Street,53 Merchant Street City Centre Bristol BS1 3EE,,,,BS1 3EE,Central,359122.0,173451.0,Freehold,,Land and Building(s),0.0,0.0087,,Investment Properties,G,2200.0,,"2016, 2019, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,9369,Shop/Kiosk,1-36 The Arcade,1-36 The Arcade City Centre Bristol BS1 3JA,,,,BS1 3JA,Central,359093.0,173344.0,Freehold,,Land and Building(s),0.0,0.146896,,Investment Properties,F,2000.0,,"2014, 2016, 2017, 2021, 2022, 2023, 2024",291200.0,
"Bristol, City of",7/1/2022,6729,Shop/Kiosk,191 Sturminster Road,191 Sturminster Road Stockwood Bristol BS14 8EJ,191.0,Sturminster Road,Bristol,BS14 8EJ,Stockwood,361606.0,168566.0,Freehold,,Land and Building(s),,0.023598,,Investment Properties,,,,"2012, 2016, 2019, 2021",,
"Bristol, City of",7/1/2022,10318,Store/Depot/Warehouse,Days Road - Premises At Junction With Kingsland Road,Days Road - Premises At Junction With Kingsland Road St Philips Bristol BS2 0QS,,Kingsland Road,Bristol,BS2 0QS,Lawrence Hill,360226.0,172756.0,Freehold,,Land and Building(s),,0.131503,,Investment Properties,,,,"2016, 2018, 2020, 2021",,
"Bristol, City of",7/1/2022,10319,Store/Depot/Warehouse,Tower House - Parking Services,Tower House - Parking Services Days Road St Philips Bristol BS2 0QS,,Days Road,Bristol,BS2 0QS,Lawrence Hill,360261.0,172778.0,Freehold,,Land and Building(s),489.88,0.106207,Yes,Investment Properties,E,1800.0,,"2016, 2017, 2019, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,10320,Store/Depot/Warehouse,Carlyle Business Centre,Carlyle Business Centre Days Road / Queen Victoria Street St Philips Bristol BS2 0QR,,Queen Victoria Street,Bristol,BS2 0QR,Lawrence Hill,360282.0,172788.0,Freehold,,Land and Building(s),0.0,0.079658,,Investment Properties,E,1800.0,,"2011, 2012, 2016, 2019, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,10321,Store/Depot/Warehouse,4 Queen Victoria Street,4 Queen Victoria Street St Philips Bristol BS2 0QR,4.0,Queen Victoria Street,Bristol,BS2 0QR,Lawrence Hill,360237.0,172729.0,Freehold,,Land and Building(s),,0.070858,,Investment Properties,,,,"2012, 2016, 2017, 2018, 2021",,
"Bristol, City of",7/1/2022,7998,Scout/Guide Building Land,249th Bristol South East Scouts,249th Bristol South East Scouts St Annes Terrace Brislington Bristol BS4 4DY,,St Annes Terrace,Bristol,BS4 4DY,Brislington West,362189.0,172133.0,Freehold,,Land only,,0.189429,,Indirect Service / Non-Investment Letting(s),,,,"2013, 2015, 2016, 2019, 2020, 2021, 2024",,
"Bristol, City of",7/1/2022,8005,Land-Playingfield/Playground/Sports,Shirehampton FC,Shirehampton FC Changing Rooms/Five-a-Side Pitch Penpole Lane Shirehampton Bristol BS11 0EA,,Penpole Lane,Bristol,BS11 0EA,Avonmouth & Lawrence Weston,353549.0,177154.0,Freehold,,Land only,,0.131997,,Indirect Service / Non-Investment Letting(s),,,,"2016, 2020, 2021, 2025",,
"Bristol, City of",7/1/2022,8010,Land-Playingfield/Playground/Sports,Shirehampton Recreation Ground,Shirehampton Recreation Ground Penpole Lane Shirehampton Bristol,,Penpole Lane,Bristol,BS11 0AU,Avonmouth & Lawrence Weston,353701.0,177145.0,Freehold,,Land only,,1.597812,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2011, 2012, 2016, 2018, 2021, 2024",,
"Bristol, City of",7/1/2022,8016,Land-Public Park,Greville Smyth Park,Greville Smyth Park Ashton Road Ashton Bristol,,Ashton Road,Bristol,BS3 2EQ,Southville,357047.0,171693.0,Freehold,,Land only,,9.440855,Yes,Community,,,,"2010, 2016, 2017, 2021",,
"Bristol, City of",7/1/2022,10345,Industrial/Workshop,Emmaus Bristol,Emmaus Bristol Barton Manor St Philips Bristol BS2 0RL,,Barton Manor,Bristol,BS2 0RL,Lawrence Hill,360050.0,172977.0,Freehold,,Land and Building(s),0.0,0.098997,,Investment Properties,B,1200.0,"Security System, Storage Space","2011, 2016, 2019, 2021",291200.0,
"Bristol, City of",7/1/2022,10346,Store/Depot/Warehouse,Barton Manor - Premises At,Barton Manor - Premises At Barton Manor St Philips Bristol BS2 0RP,,Barton Manor,Bristol,BS2 0RP,Lawrence Hill,360174.0,172993.0,Freehold,,Land and Building(s),0.0,0.164209,,Investment Properties,F,2000.0,,"2016, 2017, 2019, 2021",291200.0,
"Bristol, City of",7/1/2022,16942,Public House,Llandoger Trow And Hotel,Llandoger Trow And Hotel King Street City Centre Bristol BS1 4ER,,King Street,Bristol,BS1 4ER,Central,358889.0,172707.0,Freehold,,Land and Building(s),1000.0,0.1136,,Investment Properties,G,2200.0,,"2011, 2016, 2018, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,9439,Store/Depot/Warehouse,Avonbridge Trading Estate,Avonbridge Trading Estate Atlantic Road Avonmouth Bristol BS11 9QD,,Atlantic Road,Bristol,BS11 9QD,Avonmouth & Lawrence Weston,352346.0,177870.0,Freehold,,Land and Building(s),0.0,4.699605,,Investment Properties,E,1800.0,,"2011, 2015, 2016, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,9440,Store/Depot/Warehouse,Atlantic Road - Premises At,Atlantic Road - Premises At Avonmouth Bristol BS11 9DU,,,,BS11 9DU,Avonmouth & Lawrence Weston,352489.0,177911.0,Freehold,,Land and Building(s),0.0,6.896585,,Investment Properties,G,2200.0,,"2016, 2019, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,9443,Land-Quay/Marina/Slipway/Mooring,Bristol Marina,Bristol Marina Albion Dockside Estate Hanover Place Harbourside Bristol BS1 6UT,,Hanover Place,Bristol,BS1 6UH,Hotwells & Harbourside,357752.0,172237.0,Freehold,,Land only,,1.763577,,Investment Properties,,,,"2010, 2011, 2012, 2014, 2016, 2019, 2021, 2022",,
"Bristol, City of",7/1/2022,9445,Store/Depot/Warehouse,Unit 33 Albion Dockside Estate,Unit 33 Albion Dockside Estate Hanover Place Harbourside Bristol BS1 6UT,,Hanover Place,Bristol,BS1 6UT,Hotwells & Harbourside,357783.0,172233.0,Freehold,,Land and Building(s),300.0,0.0284,,Investment Properties,F,2000.0,,"2012, 2015, 2016, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,9831,Land-Residential,Whittock Road - Land To The East Of Whittock Square,Whittock Road - Land To The East Of Whittock Square Stockwood Bristol BS14 8DA,,,,BS14 8DA,Stockwood,361862.0,169041.0,Freehold,,Land only,,0.43443,Yes,Direct Service,,,,"2011, 2014, 2016, 2020, 2021, 2022",,
"Bristol, City of",7/1/2022,9446,Industrial/Workshop,Units 39-40 Albion Dockside Estate,Units 39-40 Albion Dockside Estate Hanover Place Harbourside Bristol BS1 6TZ,,Hanover Place,Bristol,BS1 6TZ,Hotwells & Harbourside,357753.0,172284.0,Freehold,,Land and Building(s),625.0,0.089483,,Indirect Service / Non-Investment Letting(s),B,1200.0,"Storage Space, Loading Dock","2012, 2014, 2016, 2021, 2024, 2025",291200.0,
"Bristol, City of",7/1/2022,10387,House Service Occupancy,Ashton Court - Clifton Lodge West,Ashton Court - Clifton Lodge West Abbots Leigh Road Leigh Woods Long Ashton North Somerset BS41 9JN,,,,BS41 ,Outside Bristol,355801.0,172700.0,Freehold,Vacant,Land and Building(s),106.0,0.0133,Yes,Direct Service,F,2000.0,,"2016, 2017, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,10389,Cafe/Restaurant,Golf Cafe Hub And Car Park,Golf Cafe Hub And Car Park Ashton Court Estate Kennal Lodge Road Long Ashton North Somerset BS8 3PX,,Kennel Lodge Road,Bristol,BS8 3PX,Outside Bristol,356123.0,172018.0,Freehold,,Land and Building(s),144.3,0.375347,Yes,Direct Service,G,2200.0,,"2011, 2013, 2015, 2016, 2018, 2021",291200.0,
"Bristol, City of",7/1/2022,10351,Store/Depot/Warehouse,Kingsland House,Kingsland House Unit C Kingsland Close St Philips Bristol BS2 0RJ,,Kingsland Close,Bristol,BS2 0RJ,Lawrence Hill,360092.0,172930.0,Freehold,,Land and Building(s),0.0,0.074289,,Investment Properties,G,2200.0,,"2014, 2016, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,10371,Store/Depot/Warehouse,Castle Park - Bristol Castle Vaulted Chambers,Castle Park - Bristol Castle Vaulted Chambers Castle Street City Centre Bristol BS1 3AA,,Castle Street,Bristol,BS1 3AA,Central,359372.0,173131.0,Freehold,,Land and Building(s),118.1,0.017347,Yes,Heritage Assets,E,1800.0,,"2010, 2014, 2016, 2021, 2023, 2025",291200.0,
"Bristol, City of",7/1/2022,10373,Store/Depot/Warehouse,Castle Park - Former Council Depot,Castle Park - Former Council Depot Queen Street St Philips Bristol BS2 0JB,,Queen Street,Bristol,BS2 ,Central,359293.0,173076.0,Freehold,Vacant,Land and Building(s),115.4,0.0663,Yes,Direct Service,G,2200.0,,"2015, 2016, 2017, 2020, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,10376,Store/Depot/Warehouse,Bamfield House,Bamfield House Bamfield Whitchurch Bristol BS14 0XD,,Bamfield,Bristol,BS14 0XD,Hengrove & Whitchurch Park,359929.0,168033.0,Freehold,,Land and Building(s),0.0,0.37832,,Investment Properties,G,2200.0,,"2011, 2013, 2014, 2016, 2021",291200.0,
"Bristol, City of",7/1/2022,10377,Store/Depot/Warehouse,Bamfield / Whitchurch Lane - Premises At,Bamfield / Whitchurch Lane - Premises At Hengrove Bristol BS14 0BH,,Bamfield,Bristol,BS14 0TQ,Hengrove & Whitchurch Park,359819.0,167862.0,Freehold,,Land and Building(s),,0.805013,,Investment Properties,,,,"2010, 2012, 2013, 2016, 2021, 2025",,
"Bristol, City of",7/1/2022,10378,Store/Depot/Warehouse,601 Whitchurch Lane - Premises At,601 Whitchurch Lane - Premises At Whitchurch Lane Whitchurch Bristol BS14 0BH,,,,BS14 0BH,Hengrove & Whitchurch Park,359761.0,167905.0,Freehold,,Land and Building(s),1572.9,0.452112,,Investment Properties,G,2200.0,,"2012, 2014, 2016, 2021, 2023",556555.28,
"Bristol, City of",7/1/2022,10380,House/Houses,Ashton Court Mansion,Ashton Court Mansion Ashton Court Kennel Lodge Road Long Ashton BS3 2JT,,Kennel Lodge Road,Bristol,BS3 2JT,Outside Bristol,355741.0,171824.0,Freehold,,Land and Building(s),1662.2,0.63546,Yes,Direct Service,F,2000.0,,"2016, 2017, 2018, 2019, 2020, 2021, 2024",318403.86,
"Bristol, City of",7/1/2022,137163,Special School,Wing Occupied By Claremont Special School (Secondary),Wing Occupied By Claremont Special School (Secondary) Redland Green School Redland Court Road Redland Bristol BS6 7EH,,Redland Court Road,Bristol,BS6 7EH,Redland,358268.0,175143.0,Management Agreement,,Building(s) only,,0.149606,Yes,Direct Service,,,,"2010, 2012, 2016, 2021, 2024, 2025",,
"Bristol, City of",7/1/2022,138249,Offices,The Brunel Building - Part Of Sixth Floor,The Brunel Building - Part Of Sixth Floor Southmead Hospital Southmead Road Bristol BS10 5NB,,,,BS10 5NB,Horfield,359076.0,177642.0,Licence,,Building(s) only,,0.098163,Yes,Direct Service,,,"Private Parking, Meeting Rooms","2011, 2014, 2015, 2016, 2017, 2021, 2022",,
"Bristol, City of",7/1/2022,20389,Land-Verge,Highridge Road - Land Fronting 2,Highridge Road - Land Fronting 2 Highridge Road Bishopsworth Bristol,2.0,Highridge Road,Bristol,BS13 8HA,Bishopsworth,356917.0,168407.0,Freehold,,Land only,,0.0027,,Infrastructure,,,,"2010, 2016, 2018, 2021, 2023",,
"Bristol, City of",7/1/2022,9372,Land-Residential,Gaywood House - Amenity Land Adjacent,Gaywood House - Amenity Land Adjacent North Street Bedminster Bristol,,North Street,Bristol,BS3 3BA,Bedminster,357977.0,171398.0,Freehold,,Land only,,0.085833,Yes,Direct Service,,,,"2016, 2017, 2018, 2021, 2022, 2023",,
"Bristol, City of",7/1/2022,9373,Health Centre/Surgery,Gaywood House Surgery,Gaywood House Surgery North Street Bedminster Bristol BS3 3BA,,North Street,Bristol,BS3 3BA,Bedminster,357977.0,171398.0,Freehold,,Land and Building(s),,0.036305,,Investment Properties,,,,"2011, 2016, 2019, 2021, 2023",,
"Bristol, City of",7/1/2022,13672,Land-Farm/Agriculture,Hallen Farm,Hallen Farm Severn Road Avonmouth Bristol BS10 7RZ,,Severn Road,Bristol,BS10 7RZ,Avonmouth & Lawrence Weston,354662.0,180364.0,Freehold,,Land and Building(s),296.2,26.607665,,Investment Properties,F,2000.0,,"2016, 2017, 2018, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,6487,Store/Depot/Warehouse,C Bond,C Bond Clift House Road Ashton Gate Bristol BS3 1RY,,Clift House Road,Bristol,BS3 1RX,Southville,357010.0,171924.0,Freehold,,Land and Building(s),17000.0,0.419073,,Investment Properties,E,1800.0,,"2012, 2016, 2020, 2021, 2025",3803057.96,
"Bristol, City of",7/1/2022,10322,Store/Depot/Warehouse,11-14 Queen Victoria Street,11-14 Queen Victoria Street St Philips Bristol BS2 0QR,11.0,Queen Victoria Street,Bristol,BS2 0QR,Lawrence Hill,360286.0,172759.0,Freehold,,Land and Building(s),0.0,0.0279,,Investment Properties,E,1800.0,,"2010, 2016, 2017, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,10323,Store/Depot/Warehouse,18-25 Queen Victoria Street,18-25 Queen Victoria Street St Philips Bristol BS2 0QR,18.0,Queen Victoria Street,Bristol,BS2 0QR,Lawrence Hill,360313.0,172772.0,Freehold,,Land and Building(s),0.0,0.074921,,Investment Properties,E,1800.0,,"2016, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,10325,Store/Depot/Warehouse,55 Days Road,55 Days Road St Phillips Bristol BS2 0QS,55.0,Days Road,Bristol,BS2 0QS,Lawrence Hill,360233.0,172822.0,Mixed Title,,Land and Building(s),,0.111677,,Investment Properties,,,,"2013, 2016, 2017, 2019, 2021",,
"Bristol, City of",7/1/2022,10326,Store/Depot/Warehouse,57 Days Road - Unit 1,57 Days Road - Unit 1 Days Road St Philips Bristol BS2 0QS,57.0,Days Road,Bristol,BS2 0QS,Lawrence Hill,360263.0,172841.0,Freehold,,Land and Building(s),0.0,0.096129,,Investment Properties,F,2000.0,,"2016, 2021, 2024, 2025",291200.0,
"Bristol, City of",7/1/2022,10328,Store/Depot/Warehouse,59 Days Road,59 Days Road St Philips Bristol BS2 0QS,59.0,Days Road,Bristol,BS2 0QS,Lawrence Hill,360195.0,172761.0,Mixed Title,,Land and Building(s),,0.0,,Investment Properties,,,,"2010, 2011, 2016, 2019, 2021",,
"Bristol, City of",7/1/2022,10329,Industrial/Workshop,Units 1 And 2 Sussex Street,Units 1 And 2 Sussex Street St Philips Bristol BS2 0RA,,Sussex Street,Bristol,BS2 0RA,Lawrence Hill,360240.0,172864.0,Freehold,,Land and Building(s),,0.1063,,Investment Properties,,,"Security System, Loading Dock","2010, 2016, 2020, 2021, 2025",,
"Bristol, City of",7/1/2022,10330,Store/Depot/Warehouse,1 Sussex Street,1 Sussex Street St Philips Bristol BS2 0RD,,Sussex Street,Bristol,BS2 0RA,Lawrence Hill,360214.0,172853.0,Freehold,,Land and Building(s),0.0,0.157296,,Investment Properties,E,1800.0,,"2010, 2011, 2015, 2016, 2021",291200.0,
"Bristol, City of",7/1/2022,10331,Store/Depot/Warehouse,Fileturn House,Fileturn House 90 Kingsland Road St Philips Bristol BS2 0QZ,90.0,Kingsland Road,Bristol,BS2 0QZ,Lawrence Hill,360175.0,172832.0,Freehold,,Land and Building(s),1000.0,0.127725,,Investment Properties,G,2200.0,,"2013, 2016, 2020, 2021, 2025",427664.34,
"Bristol, City of",7/1/2022,10332,Store/Depot/Warehouse,92-98 Kingsland Road,92-98 Kingsland Road St Philips Bristol BS2 0QZ,92.0,Kingsland Road,Bristol,BS2 0QZ,Lawrence Hill,360190.0,172818.0,Freehold,,Land and Building(s),0.0,0.0941,,Investment Properties,E,1800.0,,"2013, 2016, 2018, 2020, 2021, 2022, 2023",291200.0,
"Bristol, City of",7/1/2022,10333,Store/Depot/Warehouse,61 Days Road,61 Days Road St Philips Bristol BS2 0AY,61.0,Days Road,Bristol,BS2 0QS,Lawrence Hill,360314.0,172887.0,Freehold,,Land and Building(s),,,,Investment Properties,,,,"2014, 2016, 2017, 2021, 2022",,
"Bristol, City of",7/1/2022,10334,Store/Depot/Warehouse,Sussex Street - Premises At,Sussex Street - Premises At St Philips Bristol BS2 0RA,,Sussex Street,Bristol,BS2 0RA,Lawrence Hill,360229.0,172911.0,Freehold,,Land and Building(s),0.0,0.031973,,Investment Properties,F,2000.0,,"2013, 2014, 2015, 2016, 2020, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,10335,Store/Depot/Warehouse,6 - 8 Sussex Street,6 - 8 Sussex Street St Philips Bristol BS2 0RB,6.0,Sussex Street,Bristol,BS2 0RB,Lawrence Hill,360247.0,172929.0,Freehold,,Land and Building(s),0.0,0.11257,,Investment Properties,G,2200.0,,"2013, 2016, 2019, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,10336,Industrial/Workshop,Folly Lane - Premises At,Folly Lane - Premises At Sussex Street St Philips Bristol BS2 0RA,,Folly Lane,Bristol,BS2 0RH,Lawrence Hill,360246.0,172992.0,Freehold,,Land and Building(s),0.0,0.195145,,Investment Properties,D,1600.0,"Storage Space, Security System","2011, 2016, 2021, 2023, 2025",291200.0,
"Bristol, City of",7/1/2022,10341,Store/Depot/Warehouse,Belvedere House,Belvedere House Barrow Road Barton Hill Bristol BS5 0AE,85.0,Barrow Road,Bristol,BS5 0AE,Lawrence Hill,360555.0,173086.0,Freehold,,Land and Building(s),,0.168345,,Investment Properties,,,,"2013, 2014, 2016, 2021, 2024",,
"Bristol, City of",7/1/2022,10342,Store/Depot/Warehouse,Digital House,Digital House Chancery Street Barton Hill Bristol BS5 0AB,,Chancery Street,Bristol,BS5 0AZ,Lawrence Hill,360585.0,173101.0,Freehold,,Land and Building(s),0.0,0.060808,,Investment Properties,E,1800.0,,"2016, 2017, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,10343,Store/Depot/Warehouse,4 Charlton Street,4 Charlton Street Barton Hill Bristol BS5 0FD,4.0,Charlton Street,Bristol,BS5 0FD,Lawrence Hill,360573.0,173157.0,Freehold,,Land and Building(s),,0.0352,,Investment Properties,,,,"2016, 2018, 2020, 2021, 2022",,
"Bristol, City of",7/1/2022,10344,Store/Depot/Warehouse,Chancery Street - Premises At,Chancery Street - Premises At Chancery Street Barton Hill Bristol BS5 0AB,21.0,Chancery Street,Bristol,BS5 0AB,Lawrence Hill,360601.0,173131.0,Freehold,,Land and Building(s),279.0,0.0892,Yes,Direct Service,F,2000.0,,"2010, 2016, 2017, 2021",291200.0,
"Bristol, City of",7/1/2022,135283,Access/Right Of Way,Land Between 18 And 19 Newlyn Walk,Land Between 18 And 19 Newlyn Walk Knowle Bristol BS4 2SL,,,,BS4 2SL,Knowle,360717.0,170374.0,Freehold,,Land only,,0.003898,Yes,Direct Service,,,,"2013, 2014, 2016, 2018, 2021, 2023",,
"Bristol, City of",7/1/2022,19903,Land-Residential,Fortfield Road/Wharnecliffe Gardens - Land At ,Fortfield Road/Wharnecliffe Gardens - Land At  Site B3 Fortfield Road Hengrove Bristol BS14 9NU,,,,BS14 9NU,Hengrove & Whitchurch Park,360587.0,168306.0,Freehold,,Land only,,0.246065,Yes,Direct Service,,,,"2016, 2019, 2020, 2021, 2023",,
"Bristol, City of",7/1/2022,19904,Land-Residential,Fortfield Road/Chessington Avenue - Housing Development,Fortfield Road/Chessington Avenue - Housing Development Site B1 Hengrove Bristol BS14 9NU,,,,BS14 9NU,Hengrove & Whitchurch Park,360636.0,168473.0,Freehold,,Land only,,0.726682,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2012, 2016, 2021, 2023",,
"Bristol, City of",7/1/2022,20099,Land-Open Space,Kingsweston House - Grounds To West Of,Kingsweston House - Grounds To West Of Kings Weston Lane Kingsweston Bristol BS11 0UR,,,,BS11 0UR,Avonmouth & Lawrence Weston,354042.0,177404.0,Freehold,,Land only,,3.747014,Yes,Community,,,,"2010, 2011, 2012, 2013, 2016, 2021",,
"Bristol, City of",7/1/2022,9213,Industrial/Workshop,Cambridge House,Cambridge House Waterloo Street St Philips Bristol BS2 0PH,,Waterloo Street,Bristol,BS2 0PH,Lawrence Hill,359982.0,173230.0,Freehold,,Land and Building(s),,0.043125,,Investment Properties,,,"Storage Space, Loading Dock","2011, 2016, 2017, 2020, 2021",,
"Bristol, City of",7/1/2022,9214,Industrial/Workshop,Kelso House,Kelso House Waterloo Street St Philips Bristol BS2 0PH,,Waterloo Street,Bristol,BS2 0PH,Lawrence Hill,359998.0,173220.0,Freehold,,Land and Building(s),,0.070121,,Investment Properties,,,"Storage Space, Loading Dock","2015, 2016, 2019, 2021, 2022",,
"Bristol, City of",7/1/2022,9216,Cafe/Restaurant,The Kiosk,The Kiosk Welsh Back Bristol BS1 4SB,,Welsh Back,Bristol,BS1 4SB,Central,358934.0,172821.0,Freehold,,Land and Building(s),10.0,0.0011,,Investment Properties,G,2200.0,,"2011, 2016, 2018, 2019, 2021, 2024",291200.0,
"Bristol, City of",7/1/2022,9181,Offices,Brunels Buttery Kitchen,Brunels Buttery Kitchen Wapping Wharf Harbourside Bristol BS1 6UD,,,,BS1 6UD,Hotwells & Harbourside,358273.0,172191.0,Freehold,,Land and Building(s),,0.0043,,Investment Properties,,,"Private Parking, Modern Kitchen","2012, 2015, 2016, 2017, 2018, 2021, 2024",,
